Date,Adj Close,Close,High,Low,Open,Volume
2024-06-19 12:00:00+00:00,65173.1953125,65173.1953125,65255.26171875,65039.734375,65179.9140625,0
2024-06-19 13:00:00+00:00,65053.859375,65053.859375,65178.38671875,65043.24609375,65156.1875,0
2024-06-19 14:00:00+00:00,64886.87890625,64886.87890625,65111.453125,64853.48046875,65058.765625,0
2024-06-19 15:00:00+00:00,64841.109375,64841.109375,65071.03125,64799.87890625,64924.09375,0
2024-06-19 16:00:00+00:00,64921.79296875,64921.79296875,65046.05078125,64797.41796875,64889.03125,0
2024-06-19 17:00:00+00:00,65046.90625,65046.90625,65227.3984375,64916.08984375,64916.08984375,0
2024-06-19 18:00:00+00:00,64940.80859375,64940.80859375,65132.34375,64940.80859375,65058.19921875,0
2024-06-19 19:00:00+00:00,64865.9375,64865.9375,64947.57421875,64794.6484375,64945.72265625,0
2024-06-19 20:00:00+00:00,64839.48828125,64839.48828125,64877.7890625,64693.30078125,64860.13671875,0
2024-06-19 21:00:00+00:00,65021.86328125,65021.86328125,65066.3203125,64827.0234375,64838.42578125,0
2024-06-19 22:00:00+00:00,64831.16796875,64831.16796875,65016.796875,64831.16796875,65003.6875,0
2024-06-19 23:00:00+00:00,64951.1953125,64951.1953125,64951.1953125,64806.6796875,64821.82421875,0
2024-06-20 00:00:00+00:00,65046.95703125,65046.95703125,65046.95703125,64837.66015625,64960.296875,0
2024-06-20 01:00:00+00:00,65124.625,65124.625,65335.703125,65020.70703125,65062.15234375,0
2024-06-20 02:00:00+00:00,65155.921875,65155.921875,65199.13671875,64977.8515625,65125.87109375,0
2024-06-20 03:00:00+00:00,65138.71484375,65138.71484375,65187.59375,65077.83984375,65167.1015625,0
2024-06-20 04:00:00+00:00,65274.99609375,65274.99609375,65282.0703125,65080.5625,65168.48828125,0
2024-06-20 05:00:00+00:00,65557.609375,65557.609375,65557.609375,65231.0703125,65263.4921875,134674432
2024-06-20 06:00:00+00:00,65417.24609375,65417.24609375,65586.53125,65379.71875,65495.62109375,161892352
2024-06-20 07:00:00+00:00,65809.078125,65809.078125,65892.078125,65436.90625,65436.90625,186335232
2024-06-20 08:00:00+00:00,65665.03125,65665.03125,65863.6015625,65613.5078125,65836.3359375,239966208
2024-06-20 09:00:00+00:00,65686.8671875,65686.8671875,65724.3046875,65597.828125,65661.5,0
2024-06-20 10:00:00+00:00,66095.5234375,66095.5234375,66095.5234375,65635.4296875,65684.1953125,3391488
2024-06-20 11:00:00+00:00,66131.28125,66131.28125,66438.9609375,66099.9453125,66190.640625,396335104
2024-06-20 12:00:00+00:00,65949.6328125,65949.6328125,66264.5078125,65913.15625,66143.40625,665890816
2024-06-20 13:00:00+00:00,65174.91796875,65174.91796875,65956.6796875,65146.8984375,65956.6796875,1514803200
2024-06-20 14:00:00+00:00,64927.89453125,64927.89453125,65121.15234375,64676.48046875,65121.15234375,843276288
2024-06-20 15:00:00+00:00,64807.93359375,64807.93359375,65054.18359375,64807.88671875,64922.390625,575533056
2024-06-20 16:00:00+00:00,64793.11328125,64793.11328125,64886.078125,64548.28125,64788.8046875,916736000
2024-06-20 17:00:00+00:00,64927.7109375,64927.7109375,64940.3125,64655.8203125,64824.2421875,161169408
2024-06-20 18:00:00+00:00,65092.609375,65092.609375,65134.05078125,64919.3671875,64922.78515625,353357824
2024-06-20 19:00:00+00:00,64928.515625,64928.515625,65092.43359375,64806.46484375,65092.43359375,682203136
2024-06-20 20:00:00+00:00,65047.03515625,65047.03515625,65137.109375,64956.0234375,65005.34765625,243085312
2024-06-20 21:00:00+00:00,65005.94140625,65005.94140625,65134.6328125,64996.5234375,65055.56640625,0
2024-06-20 22:00:00+00:00,64950.16015625,64950.16015625,65094.46875,64947.2890625,64997.140625,0
2024-06-20 23:00:00+00:00,64835.92578125,64835.92578125,65000.41015625,64835.92578125,64955.96875,102264832
2024-06-21 00:00:00+00:00,64756.7890625,64756.7890625,64901.49609375,64628.5546875,64837.98828125,0
2024-06-21 01:00:00+00:00,64907.8984375,64907.8984375,64965.01953125,64651.13671875,64781.8671875,0
2024-06-21 02:00:00+00:00,64750.3671875,64750.3671875,65007.546875,64726.16015625,64922.74609375,0
2024-06-21 03:00:00+00:00,64582.421875,64582.421875,64795.65234375,64582.421875,64752.66796875,187174912
2024-06-21 04:00:00+00:00,64613.2578125,64613.2578125,64620.4140625,64334.3828125,64469.46875,528558080
